City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,Pacific Grove,36.6177,-121.9166,72.01,66,0,10.36,US,2022-05-06 00:19:59
253,Balagansk,54.0103,103.0544,39.78,42,100,13.56,RU,2022-05-06 00:19:59
254,Jiaozhou,36.2839,120.0033,67.96,61,42,9.44,CN,2022-05-06 00:19:59
255,Sibu,2.3,111.8167,79.11,94,20,2.3,MY,2022-05-06 00:20:00
256,Kirakira,-10.4544,161.9205,85.87,70,8,5.97,SB,2022-05-06 00:20:01
257,Naron,43.5167,-8.1528,57.6,91,7,7.87,ES,2022-05-06 00:20:01
258,Sinop,41.7711,34.8709,45.68,86,96,5.93,TR,2022-05-06 00:20:02
259,Carnarvon,-24.8667,113.6333,66.27,42,40,9.22,AU,2022-05-06 00:20:02
260,Tra Vinh,9.9347,106.3453,80.08,87,98,8.43,VN,2022-05-06 00:20:03
261,Namatanai,-3.6667,152.4333,85.37,70,72,9.22,PG,2022-05-06 00:20:00
262,Jasper,37.2001,-94.3502,66.24,88,100,0.0,US,2022-05-06 00:15:09
263,Wichita Falls,33.9137,-98.4934,75.34,47,0,16.11,US,2022-05-06 00:20:03
264,Ulladulla,-35.35,150.4667,56.77,47,0,10.96,AU,2022-05-06 00:20:04
265,Chateaubelair,13.2833,-61.25,78.12,79,95,12.5,VC,2022-05-06 00:20:04
266,Upernavik,72.7868,-56.1549,5.56,91,40,5.03,GL,2022-05-06 00:17:34
267,Urubicha,-15.3833,-62.95,67.55,45,1,1.25,BO,2022-05-06 00:21:05
268,Yambio,4.5721,28.3955,68.49,87,91,2.48,SS,2022-05-06 00:21:05
269,Cabo San Lucas,22.8909,-109.9124,81.61,61,0,10.36,MX,2022-05-06 00:19:17
270,Katsuura,35.1333,140.3,67.32,68,100,8.21,JP,2022-05-06 00:21:06
271,Pangnirtung,66.1451,-65.7125,12.56,95,41,2.8,CA,2022-05-06 00:21:06
272,Shepsi,44.0361,39.1489,52.29,85,100,4.9,RU,2022-05-06 00:21:07
273,Yerbogachen,61.2767,108.0108,38.97,76,98,9.37,RU,2022-05-06 00:21:08
274,Birao,10.2849,22.7882,79.93,65,77,4.88,CF,2022-05-06 00:21:08
275,Kununurra,-15.7667,128.7333,80.58,32,6,16.11,AU,2022-05-06 00:19:42
276,Pyu,18.4833,96.4333,78.96,73,5,4.0,MM,2022-05-06 00:21:09
277,Freeport,40.6576,-73.5832,66.18,65,0,13.8,US,2022-05-06 00:21:09
278,Akyab,20.15,92.9,78.98,78,0,5.03,MM,2022-05-06 00:21:10
